symbol,full_name,industry,sector,market,market_cap,trailing_pe,price_sales,current_price
600519,贵州茅台,N/A,N/A,SH,,,,1326.0
000858,五 粮 液,N/A,N/A,SZ,,,,84.89
601318,中国平安,N/A,N/A,SH,,,,53.5
000333,美的集团,N/A,N/A,SZ,,,,80.85
600036,招商银行,N/A,N/A,SH,,,,38.01
002415,海康威视,N/A,N/A,SZ,,,,30.56
600276,恒瑞医药,N/A,N/A,SH,,,,50.19
000651,格力电器,N/A,N/A,SZ,,,,39.17
601166,兴业银行,N/A,N/A,SH,,,,18.5
300750,宁德时代,N/A,N/A,SZ,,,,424.0
600030,中信证券,N/A,N/A,SH,,,,26.05
000002,万 科Ａ,N/A,N/A,SZ,,,,3.55
601888,中国中免,N/A,N/A,SH,,,,59.58
002594,比亚迪,N/A,N/A,SZ,,,,96.18
600900,长江电力,N/A,N/A,SH,,,,27.75
