symbol,trade_date,open_price,high_price,low_price,close_price,volume
600519,2026-02-12,1500.2,1502.82,1473.36,1486.6,4624582
600519,2026-02-13,1486.6,1507.8,1470.58,1485.3,4167901
600519,2026-02-24,1521.0,1524.4,1463.6,1466.8,4191253
600519,2026-02-25,1470.0,1509.66,1467.88,1491.66,3688067
600519,2026-02-26,1486.6,1489.49,1464.67,1466.21,3295801
600519,2026-02-27,1466.99,1476.21,1455.02,1455.02,3216016
600519,2026-03-02,1450.0,1457.0,1436.66,1440.11,3545386
600519,2026-03-03,1440.1,1452.87,1422.13,1426.19,4589086
600519,2026-03-04,1415.0,1423.0,1392.09,1401.18,4801443
600519,2026-03-05,1406.0,1412.96,1395.0,1399.04,3050524
600519,2026-03-06,1395.0,1407.5,1388.0,1402.0,2915415
600519,2026-03-09,1390.0,1404.9,1383.2,1397.0,3744162
600519,2026-03-10,1404.9,1409.49,1398.0,1401.88,2462592
600519,2026-03-11,1402.99,1405.99,1398.02,1400.0,2445673
600519,2026-03-12,1395.0,1403.95,1391.01,1392.0,2758646
600519,2026-03-13,1392.48,1417.62,1392.0,1413.64,3360783
600519,2026-03-16,1420.0,1466.0,1420.0,1460.18,6008635
600519,2026-03-17,1468.0,1498.07,1461.19,1485.0,4945361
600519,2026-03-18,1489.0,1496.5,1463.15,1468.8,3555100
600519,2026-03-19,1472.96,1473.0,1446.0,1452.87,3031859
600519,2026-03-20,1452.96,1462.5,1439.0,1445.0,2613234
600519,2026-03-23,1433.33,1435.0,1400.03,1408.07,4725589
600519,2026-03-24,1416.0,1417.59,1400.18,1407.33,2856179
600519,2026-03-25,1410.11,1417.87,1401.01,1410.27,2609346
600519,2026-03-26,1409.0,1413.9,1400.3,1401.18,2309289
600519,2026-03-27,1400.0,1426.0,1396.66,1416.02,3008711
600519,2026-03-30,1407.0,1431.0,1402.52,1420.0,2868459
600519,2026-03-31,1468.0,1479.93,1448.41,1450.0,6169066
000858,2026-02-12,105.9,106.11,104.4,104.62,18172982
000858,2026-02-13,104.7,106.88,104.17,106.06,24123984
000858,2026-02-24,108.18,109.19,105.0,105.16,21014361
000858,2026-02-25,105.0,106.11,104.87,105.17,16152900
000858,2026-02-26,105.0,105.33,103.6,103.88,19232479
000858,2026-02-27,103.88,104.55,103.88,104.05,11918816
000858,2026-03-02,103.0,104.6,102.34,103.22,20406363
000858,2026-03-03,103.01,104.38,101.9,102.55,23059451
000858,2026-03-04,102.0,102.01,100.75,101.02,18301822
000858,2026-03-05,101.62,101.97,101.15,101.45,10052078
000858,2026-03-06,101.34,102.49,101.05,102.4,11291640
000858,2026-03-09,101.32,102.6,101.27,101.52,17778084
000858,2026-03-10,101.88,102.39,101.76,102.05,11169430
000858,2026-03-11,102.05,102.35,101.59,102.18,10780126
000858,2026-03-12,102.0,102.73,101.6,102.27,11661418
000858,2026-03-13,102.06,103.66,101.85,102.95,15318710
000858,2026-03-16,102.8,105.31,102.7,104.54,20304875
000858,2026-03-17,104.54,105.82,104.0,104.79,17770249
000858,2026-03-18,104.79,104.99,103.4,103.72,11720905
000858,2026-03-19,103.01,103.41,102.51,102.53,11437347
000858,2026-03-20,102.53,103.18,101.9,102.4,10286504
000858,2026-03-23,101.4,101.78,100.04,100.23,20518979
000858,2026-03-24,100.88,101.46,100.04,101.34,11750754
000858,2026-03-25,101.35,102.58,100.88,102.45,10858964
000858,2026-03-26,102.2,102.89,101.28,101.28,9592448
000858,2026-03-27,100.5,102.88,100.41,102.65,10295755
000858,2026-03-30,101.99,103.9,101.8,103.46,12490697
000858,2026-03-31,105.0,105.8,103.27,103.27,17834771
601318,2026-02-12,67.6,67.68,66.35,66.54,64637155
601318,2026-02-13,66.15,66.35,65.06,65.29,84077184
601318,2026-02-24,65.77,66.25,64.37,64.5,80005314
601318,2026-02-25,64.7,65.74,64.7,65.05,68355572
601318,2026-02-26,65.5,65.53,63.29,63.5,103614642
601318,2026-02-27,63.6,63.74,63.06,63.09,63301213
601318,2026-03-02,62.41,63.11,61.7,62.35,101086184
601318,2026-03-03,62.45,63.72,61.93,62.57,109553470
601318,2026-03-04,62.2,62.56,60.65,61.79,100813361
601318,2026-03-05,62.01,62.72,61.8,62.08,54636541
601318,2026-03-06,61.79,63.35,61.66,62.67,57463292
601318,2026-03-09,61.44,61.52,60.01,61.4,93036823
601318,2026-03-10,61.86,62.38,61.72,62.09,46218362
601318,2026-03-11,62.09,62.91,61.8,62.55,51727048
601318,2026-03-12,62.15,62.43,61.22,61.6,66854186
601318,2026-03-13,61.37,61.87,61.08,61.2,45804107
601318,2026-03-16,61.2,61.36,60.1,60.48,81859571
601318,2026-03-17,60.59,62.8,60.58,61.84,90184988
601318,2026-03-18,61.87,62.32,61.5,61.89,49047083
601318,2026-03-19,61.2,61.29,60.4,60.62,68472203
601318,2026-03-20,60.8,60.9,59.7,59.74,62076703
601318,2026-03-23,58.9,59.0,57.24,57.47,125382261
601318,2026-03-24,58.0,58.34,57.5,58.12,68186982
601318,2026-03-25,58.5,59.36,58.42,58.79,56238854
601318,2026-03-26,58.78,58.78,56.53,56.8,101189634
601318,2026-03-27,56.86,57.39,56.42,56.95,83437858
601318,2026-03-30,56.34,56.55,55.84,56.33,73754441
601318,2026-03-31,56.29,57.69,56.21,56.78,76411377
000333,2026-02-12,79.46,80.06,79.3,79.8,18878441
000333,2026-02-13,79.51,80.0,78.91,79.05,25510243
000333,2026-02-24,80.2,80.6,79.52,79.52,25251393
000333,2026-02-25,80.28,80.77,79.29,79.7,28552395
000333,2026-02-26,80.15,80.2,78.75,79.25,25327062
000333,2026-02-27,79.03,79.5,78.5,78.64,20160388
000333,2026-03-02,78.0,78.06,76.7,77.45,27478559
000333,2026-03-03,77.46,77.64,76.5,76.56,28800034
000333,2026-03-04,76.0,76.52,75.37,76.16,28493355
000333,2026-03-05,76.6,76.99,76.12,76.27,19687239
000333,2026-03-06,76.22,76.72,75.76,76.52,20662879
000333,2026-03-09,75.73,76.1,75.02,75.41,25947837
000333,2026-03-10,75.75,76.84,75.75,76.6,20908556
000333,2026-03-11,76.6,77.72,76.1,77.39,25135764
000333,2026-03-12,77.3,77.75,76.93,77.4,19330478
000333,2026-03-13,76.95,77.46,76.65,76.86,18729288
000333,2026-03-16,76.52,76.88,75.68,76.64,20560029
000333,2026-03-17,76.98,77.6,76.6,76.6,21407454
000333,2026-03-18,76.74,77.3,76.3,77.06,20071638
000333,2026-03-19,76.43,76.98,75.93,76.0,23272907
000333,2026-03-20,75.92,76.15,75.12,75.12,21912595
000333,2026-03-23,73.95,73.97,72.35,73.37,46200800
000333,2026-03-24,73.73,74.42,72.8,74.23,26714723
000333,2026-03-25,74.5,74.97,73.95,74.8,18496362
000333,2026-03-26,74.89,75.54,74.18,74.32,17708533
000333,2026-03-27,72.9,74.95,72.8,74.78,31912535
000333,2026-03-30,73.35,74.0,71.77,72.1,45622715
000333,2026-03-31,75.05,77.32,74.31,76.35,69491461
600036,2026-02-12,39.4,39.42,38.73,38.99,77752571
600036,2026-02-13,38.95,39.09,38.63,38.71,70537032
600036,2026-02-24,39.2,39.41,38.82,38.94,75467438
600036,2026-02-25,38.9,39.15,38.72,38.78,72397149
600036,2026-02-26,38.8,39.02,38.5,38.7,59332534
600036,2026-02-27,38.75,38.95,38.64,38.75,63703472
600036,2026-03-02,38.6,38.87,38.42,38.67,68547313
600036,2026-03-03,38.66,39.55,38.56,39.18,138465642
600036,2026-03-04,39.01,39.03,38.01,38.6,115193902
600036,2026-03-05,38.66,39.24,38.63,39.15,78336979
600036,2026-03-06,39.1,39.32,38.95,39.2,46595667
600036,2026-03-09,38.9,39.18,38.75,38.79,76677490
600036,2026-03-10,38.94,39.24,38.8,39.22,61371700
600036,2026-03-11,39.3,39.5,38.95,39.5,68940710
600036,2026-03-12,39.45,39.58,39.33,39.5,52772330
600036,2026-03-13,39.46,40.05,39.35,39.76,76527668
600036,2026-03-16,39.77,40.04,39.64,39.91,61094451
600036,2026-03-17,39.89,40.36,39.83,40.12,65622927
600036,2026-03-18,40.13,40.32,39.79,39.92,70583141
600036,2026-03-19,39.88,40.04,39.7,39.77,65024684
600036,2026-03-20,39.85,40.08,39.66,39.75,61580273
600036,2026-03-23,39.58,39.7,38.55,38.68,95773829
600036,2026-03-24,38.8,39.32,38.73,39.25,61633642
600036,2026-03-25,39.33,39.4,38.94,39.26,65381669
600036,2026-03-26,39.15,39.69,39.14,39.56,61679007
