symbol,report_date,total_revenue,gross_profit,operating_income,net_income,basic_eps,total_assets,total_liabilities,current_assets,current_liabilities,inventory
600519,1998-12-31,,,0.0,0.0,0.0,,0.0,,,
600519,1999-12-31,,,,0.0,0.0,,,,,
600519,2000-12-31,,,,0.0,0.0,,,,,
600519,2001-06-30,,,0.0,0.0,0.0,,0.0,,,
000858,1995-12-31,,,0.0,0.0,0.0,,0.0,,,
000858,1996-12-31,,,,0.0,0.0,,,,,
000858,1997-12-31,,,,0.0,0.0,,,,,
000858,1998-06-30,,,0.0,0.0,0.0,,0.0,,,
601318,2003-12-31,,,0.0,,0.0,,0.0,,,
601318,2004-12-31,,,,,,,,,,
601318,2005-12-31,,,,,,,,,,
601318,2006-06-30,,,0.0,0.0,0.0,,0.0,,,
000333,2006-12-31,,,0.0,0.0,0.0,,0.0,,,
000333,2007-12-31,,,,0.0,0.0,,,,,
000333,2008-03-31,,,0.0,0.0,0.0,,0.0,,,
000333,2008-06-30,,,0.0,0.0,0.0,,0.0,,,
600036,1999-12-31,,,0.0,0.0,0.0,,0.0,,,
600036,2000-12-31,,,,0.0,0.0,,,,,
600036,2001-06-30,,,0.0,0.0,0.0,,0.0,,,
600036,2001-12-31,,,,0.0,0.0,,,,,
002415,2006-12-31,,,0.0,0.0,0.0,,0.0,,,
002415,2007-12-31,,,,,0.0,,,,,
002415,2008-12-31,,,,,,,,,,
002415,2009-03-31,,,0.0,,0.0,,0.0,,,
600276,1997-12-31,,,0.0,0.0,0.0,,0.0,,,
600276,1998-12-31,,,,0.0,0.0,,,,,
600276,1999-12-31,,,,0.0,0.0,,,,,
600276,2000-06-30,,,0.0,0.0,0.0,,0.0,,,
000651,1993-12-31,,,0.0,0.0,0.0,,0.0,,,
000651,1994-12-31,,,,0.0,0.0,,,,,
000651,1995-12-31,,,,0.0,0.0,,,,,
000651,1996-06-30,,,0.0,0.0,0.0,,0.0,,,
601166,2003-12-31,,,0.0,,0.0,,0.0,,,
601166,2004-12-31,,,,,,,,,,
601166,2005-12-31,,,,,,,,,,
601166,2006-06-30,,,0.0,,0.0,,0.0,,,
300750,2014-12-31,,,0.0,,0.0,,0.0,,,
300750,2015-12-31,,,,,,,,,,
300750,2016-12-31,,,,,,,,,,
300750,2017-03-31,,,0.0,,0.0,,0.0,,,
600030,1999-12-31,,,0.0,0.0,0.0,,0.0,,,
600030,2000-12-31,,,,0.0,0.0,,,,,
600030,2001-12-31,,,,0.0,0.0,,,,,
600030,2002-06-30,,,0.0,0.0,0.0,,0.0,,,
000002,1991-12-31,,,0.0,0.0,0.0,,0.0,,,
000002,1992-12-31,,,,0.0,0.0,,,,,
000002,1993-06-30,,,0.0,0.0,0.0,,0.0,,,
000002,1993-12-31,,,,0.0,0.0,,,,,
601888,2006-12-31,,,0.0,,0.0,,0.0,,,
601888,2007-12-31,,,,,,,,,,
601888,2008-09-30,,,0.0,0.0,0.0,,0.0,,,
601888,2008-12-31,,,,,,,,,,
002594,2008-12-31,,,0.0,,0.0,,0.0,,,
002594,2009-12-31,,,,,,,,,,
002594,2010-03-31,,,0.0,,0.0,,0.0,,,
002594,2010-06-30,,,0.0,,0.0,,0.0,,,
600900,2000-12-31,,,0.0,0.0,0.0,,0.0,,,
600900,2001-12-31,,,,0.0,0.0,,,,,
600900,2002-12-31,,,,0.0,0.0,,,,,
600900,2003-03-31,,,0.0,0.0,0.0,,0.0,,,
